relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
미즈노테니스화,17,0,0,0
아기디딤대,12,3,4,1
새우볼,38,0,2,0
테라조타일,29,2,7,2
미니욕조,31,4,5,0
꽃맛살,31,0,2,0
카시트장난감,5,1,1,0
락포트펌프스,16,8,8,0
유치보관함,27,4,8,1
휴비딕저주파,35,0,5,0
차상,37,1,2,0
스텝박스,19,3,3,0
풀무원핫도그,0,0,0,0
밴디지,8,2,1,0
낚시하드케이스,27,2,3,0
초크백,30,5,5,0
리플렛,33,0,7,0
아레나오리발,34,4,2,0
강아지올인원패딩,18,7,13,2
성장영상,24,3,12,1
뽑기장난감,28,2,9,1
토트넘유니폼,32,3,5,0
편도결석제거기,36,2,2,0
윌슨테니스가방,24,8,8,0
담터율무차,37,3,0,0
컷쇼,40,0,0,0
응원봉,21,2,17,0
차징탑스피너,39,0,1,0
치경,34,3,3,0
밀면,11,2,2,0
피구공,12,0,0,0
방울솜,37,1,2,0
200일셀프촬영,0,0,8,9
평페달슈즈,1,0,0,0
아기변기커버,3,1,1,0
출퇴근기록기,16,0,0,0
부케말리기,6,3,11,0
벽데코타일,0,0,0,0
튤립코바늘,0,0,0,0
닥스손수건,0,0,0,0
게맛살,0,0,0,0
플란체바,0,0,0,0
자명종시계,1,0,0,0
전술화,2,0,0,0
아킬레스건보조기,0,0,0,0
낚시놀이장난감,0,0,0,0
백일아기장난감,17,4,3,0
핸드폰만보기,37,1,2,0
악보보면대,35,3,2,0
해루질조과통,37,2,1,0
대바늘,22,9,9,0
자동만보기,36,1,2,0
꼬꼬노리,31,2,5,0
정새우,32,3,5,0
티비가리개,32,1,6,0
아기200일셀프촬영,0,1,26,11
우주매직큐브,27,0,2,0
납골당미니어처,12,4,1,0
볼링아대,15,1,2,0
숯돌,25,2,0,0
함몰유두교정기,32,1,2,0
렌즈빼는도구,34,1,3,2
캐패시터,37,2,1,0
지오지아셔츠,35,3,2,0
스팀족욕기,8,1,1,0
돌영상제작,11,0,0,0
요넥스테니스화,33,4,0,0
와인따개,26,5,9,0
고양이화장실매트,18,0,8,2
핀삭스,21,1,1,0
한글카드,4,2,7,1
캐리어방수커버,3,2,0,0
3단빨래바구니,12,3,3,0
U자바디필로우,36,1,3,0
백종원장아찌간장,36,2,2,0
테니스가방백팩,24,6,9,1
하바티치즈,12,2,2,0
김밥틀,0,0,1,0
폴햄키즈조끼,1,0,0,0
미드센추리의자,3,1,8,1
삼숙이,26,0,0,0
이젤패드,39,1,0,0
포켓몬고오토캐치,24,2,3,0
낱말카드,14,0,8,0
귀여운계산기,23,0,8,1
공학계산기,28,5,4,0
보드복상의,21,4,6,0
젤라틴,28,1,1,0
기모속바지,22,4,7,1
오피넬나이프,20,2,3,0
골반뽕,22,4,4,0
호두율무차,35,2,0,0
성장동영상,21,4,8,1
카포트,39,0,1,0
글라스락렌지쿡,30,2,8,0
환자복,31,3,1,0
아기과즙망,2,0,0,0
비빔장,1,0,0,0
레고보관함,7,3,4,0
검전기,25,2,0,0
키재기,1,0,4,1
얇은핸들커버,0,0,0,0
퍼피엔젤패딩,0,0,0,0
아레나수모,4,1,0,0
문교오일파스텔,12,2,4,0
전동칼갈이,5,0,1,0
칼갈이기계,0,0,0,0
메탈라이트,1,0,0,0
족구공,0,0,0,0
투표함,1,0,0,0
안심팬티,0,0,0,0
쌀강정,1,0,0,0
킬바사소세지,0,0,0,0
약과쿠키,0,0,0,0
마틴게일목줄,3,0,3,0
탁구러버,26,1,0,0
보청기,36,2,2,0
캐리어저울,32,4,4,0
TDS측정기,38,2,0,0
알칸타라핸들커버,30,3,5,0
탁구러버추천,39,1,0,0
몰텐농구공,32,4,3,0
키재는기계,30,4,3,0
수성펜,35,0,2,0
애니라벨,31,0,1,0
깃대,2,0,0,0
아워티,12,3,1,0
잡초매트,19,1,5,0
산마늘,24,0,2,0
베트남망고젤리,17,9,11,3
돌반지케이스,9,8,18,5
법복,23,7,10,0
3M귀마개,30,3,1,0
현관종,1,0,3,0
겉싸개,14,2,3,0
여성골프하프백,30,5,5,0
콩자반,38,1,1,0
역기,34,3,3,0
응모함,21,0,2,0
종이분쇄기,0,0,0,0
강아지캠핑의자,0,0,0,0
씨스콜,27,0,0,0
자동차스크레치복구제,39,0,1,0
자동차스크래치복구제,38,0,1,0
리델와인잔,33,3,4,0
슈퍼캐패시터,25,2,1,0
양모볼,1,0,0,1
낚시가방하드케이스,15,3,1,0
자전거후레쉬,3,0,0,0
웨이더,21,0,2,0
자동걷기기계,31,2,7,0
편도결석제거,36,2,2,0
와다,24,1,2,0
영업중간판,22,5,5,0
건초,30,2,4,0
기온쿼츠레더클리너,34,3,3,0
적외선온도계,32,5,3,0
콩조림,37,2,0,0
좌우반전거울,31,2,1,1
아기침대모빌,19,3,6,0
걸레슬리퍼,35,2,3,0
카시오공학용계산기,33,4,3,0
벤츠핸들커버,31,1,5,0
테니스백팩,14,5,8,0
미니골프백,1,0,1,0
요리용토치,1,0,0,0
진동벨,15,0,0,0
봉평메밀국수,16,1,2,0
스텐녹제거,1,0,0,0
소형코팅기,0,0,0,0
튀김망,0,0,0,0
밀양얼음골사과,3,1,2,0
버팔로구명조끼,26,3,5,0
장난감보관함,2,0,2,1
원목강아지집,0,0,0,0
아디다스키즈트레이닝,0,0,1,0
치코아기비데,0,0,0,0
미니족,0,0,0,0
임시치아,0,0,1,0
계량한복,0,0,0,0
액막이명태,0,2,1,0
오징어순대,2,0,1,0
풉백,15,1,9,0
레이저포인터,16,3,2,0
산양산삼,21,1,5,1
크록스장화,29,5,6,0
진도울금,31,3,3,0
몰탈,24,7,6,0
매트리스커버퀸,37,0,3,0
간호사가디건,29,5,6,0
레이져포인터,25,6,2,0
극세사스프레드,12,0,0,0
메탈라이트플랜츠,26,1,0,0
충전식기포기,1,0,1,0
대체육,6,0,1,0
맘스안심팬티,27,0,0,0
파이프밴딩기,31,0,0,0
라탄파티션,25,5,7,0
소프트블럭,30,3,7,0
요강,31,2,7,0
제초제,29,0,3,0
그로밋키링,0,0,1,0
프리젠터,21,2,0,0
간이변기,21,6,13,0
벌집방석,30,4,6,0
탑스피너,39,0,0,0
진공관시계,28,0,1,0
아이브포토카드,4,1,0,0
레그슬리브,30,1,0,0
아기손발조형물,28,1,10,1
크레스트치아미백,35,2,3,0
접지테스터기,36,3,1,0
화과자선물세트,7,4,9,1
실험복,2,0,0,0
괘종시계,13,1,1,0
우산꽃이,15,0,2,0
총진싹,24,2,3,0
벤츠붕붕카,30,4,6,0
자석퍼즐,33,2,5,0
몰펀,35,2,3,0
몰펀블럭,31,2,3,0
꼬꼬노리치발기,0,0,0,0
시나모롤우산,13,4,5,0
유두보호기,36,1,3,0
포스카마카,35,2,2,1
큰방석,35,2,3,0
파타고니아반팔,40,0,0,0
파타고니아반팔티,31,2,7,0
우드슬랩다리,33,2,5,0
위그,33,6,1,0
가정용토치,8,4,7,1
스틸텅드럼,0,0,0,0
수류탄에어펌프,0,0,0,0
미니캣타워,0,1,2,0
크록스레인부츠,14,1,2,0
장애인화장실손잡이,13,1,4,0
파리생제르망유니폼,0,0,0,0
헬렌스타인베개,3,0,1,0
인도어화,0,0,0,0
일본화과자,1,0,0,0
듀얼모니터암,7,5,11,0
염경환방석,3,0,2,0
환자용변기,0,0,0,0
오다리,2,0,0,0
테이블대여,0,0,1,1
바리게이트,0,0,0,0
절복,0,0,0,0
수경재배기,0,0,0,0
쑥뜸,1,0,0,0
반달쿠션,5,0,6,0
라지킹침구세트,26,3,3,1
크로스핏줄넘기,16,2,3,0
강아지배변매트,9,1,3,0
데일리베베,29,4,2,2
실리콘방석,34,1,5,0
잣엿,39,0,1,0
여자아이방꾸미기,38,0,2,0
산소용접기,39,1,0,0
석션기,35,2,3,0
앞후크브라,20,3,12,4
저격총,1,1,4,0
터미널압착기,1,0,0,0
카라향,20,3,2,2
퀘스트프로틴바,34,2,0,0
퀘스트바,25,2,0,0
감자옹심이,22,3,2,0
아레나여아수영복,30,2,8,0
맥스앤루비,40,0,0,0
옹심이,20,3,3,0
제왕절개산후복대,2,0,0,0
뮤라방수요,16,0,0,0
전투화,23,4,3,0
버터구이오징어,12,2,12,0
학센,18,0,1,0
파라솔각도기,32,3,2,0
딥스바,11,2,4,0
노스페이스미니샷,5,0,1,0
PSG유니폼,26,3,5,0
아레나수영모,23,5,12,0
침대안전바,28,3,9,0
CEP카프슬리브,38,0,1,0
신발늘리기,6,0,2,0
군화,0,0,0,0
버터플라이탁구화,4,0,0,0
소막창,7,1,2,0
가죽식탁매트,17,1,8,1
수술복,10,5,5,0
허리스트레칭기구,14,4,4,2
사무실서랍장,28,1,2,0
앙쥬치발기,17,0,1,0
병원가디건,25,4,5,0
치즈핫도그,8,0,1,0
롱토치,17,1,1,0
집간장,32,3,4,1
마이퍼스트북,32,1,6,1
허리보조기,36,3,1,0
조리원속싸개,32,3,5,0
핸드밀그라인더,26,7,6,1
로이드귀걸이,21,8,10,1
어린이드론,29,3,8,0
침대난간,10,0,10,0
고양이목줄,0,0,0,1
파크볼,6,2,0,0
윷놀이,0,0,0,0
골프그립교정기,21,1,1,0
스카이콩콩,19,0,1,0
피규어보관함,0,0,0,0
붕붕카,0,0,1,0
노기스,0,0,0,0
현미곤약밥,0,0,0,0
곤약현미밥,14,1,1,0
철제빨래바구니,1,0,0,0
레고정리박스,1,0,0,0
소금단지,1,0,0,0
유리막제거,0,0,0,0
색소폰스트랩,0,0,0,0
세라복,0,0,0,0
아기무릎보호대,0,0,0,0
욕창치료,0,0,0,0
골프공파우치,3,2,4,0
페이지터너,33,0,1,0
지거,21,2,9,0
차량용전기포트,29,1,1,0
팥빙수,37,1,1,0
허리스트레칭,18,8,10,2
고양이네블라이저,20,1,2,0
강아지생리대,32,0,1,0
강아지자동급수기,22,8,7,3
보니숑유모차라이너,39,0,0,1
목발,35,4,1,0
추첨함,4,0,1,0
곤약면,3,0,0,0
해먹스탠드,19,3,7,0
제왕절개복대,22,2,3,0
어르신반찬,5,1,1,2
근적외선치료기,18,1,1,0
하림삼계탕,37,0,0,0
기온쿼츠레더쉴드,35,2,1,0
포크레인붕붕카,33,1,3,0
손싸개,11,1,5,0
스타족구화,2,0,0,0
물파스,31,0,2,0
오타마톤,33,1,5,1
아레나키즈수영복,27,3,5,0
노스페이스반팔티,16,0,1,0
강아지슬개골보호대,10,0,4,0
듀얼브레서,20,0,1,0
에티모코바늘,22,4,6,0
아르헨티나유니폼,34,2,3,0
티즐,37,1,2,0
티모시,33,2,3,0
호흡기치료기,1,1,1,0
키즈이어머프,0,0,0,0
고양이음수대,0,1,0,0
포밍테이블,15,4,2,0
해신탕,30,2,3,1
유모차장갑,15,4,7,1
메가테스터기,28,0,1,0
책걸상,20,3,10,0
이빨요정,30,2,2,1
가정용샌드백,4,1,10,0
볼링백,8,0,0,0
디자인마카,26,3,4,0
공기질측정기,32,2,6,0
공업용환풍기,39,0,1,0
상체운동기구,39,0,0,1
기버터,32,4,4,0
여성골프파우치,20,7,13,0
붕어빵만들기세트,32,2,5,1
수경끈,27,4,6,0
새싹삼,6,0,0,0
아디다스키즈세트,5,0,2,0
통돌이걸레,11,1,2,0
유치보관,20,1,4,1
원적외선조사기,3,0,1,0
단발가발,0,0,0,0
영양바,1,1,0,0
새우만두,1,0,0,0
과즙망,3,1,1,2
모달이불커버,14,0,0,1
오토바이열선장갑,0,0,0,0
가정용식판,0,0,0,0
스텐마늘다지기,0,0,0,0
탑젤리,0,0,1,0
아기체육관고리,0,0,0,0
지팡이의자,0,0,0,0
엄마랑병풍,3,0,1,0
전동건,2,1,1,0
새우까스,12,0,2,0
키카풋살화,31,2,1,0
테니스연습기,21,3,6,0
본죽메추리알장조림,16,0,0,0
일본교복,28,2,2,1
카시트후방거울,29,4,5,0
텅드럼,22,2,3,0
웹슈터,29,0,2,0
화장실안전손잡이,30,3,4,0
어린이샤워가운,23,7,10,0
초밥틀,38,0,2,0
아기치발기,5,1,7,0
건의함,0,0,0,0
고흥유자청,21,1,1,1
물고기자동급여기,31,1,2,0
유틸리티커버,8,0,2,0
초배지,11,0,2,1
CEP,29,1,0,0
옥소젖병건조대,37,1,1,1
슬라이딩정리대,19,2,2,4
임산부내복,22,2,2,0
아스팔트슁글,10,0,2,0
유모차보조의자,7,0,0,0
마이쮸,31,0,3,0
마이쭈,35,0,5,0
여성골프샤워가운,12,1,16,1
강아지네블라이저,5,1,1,0
아스날유니폼,17,0,0,0
닥스지갑,26,4,6,1
삑삑이신발,30,2,4,0
케겔운동,17,5,15,2
아치슬리퍼,2,3,4,1
악보대,22,1,2,0
호텔수영복,4,1,10,2
터프빌트,0,0,0,0
골프공주머니,5,1,1,1
백일상차림,14,5,11,2
빌트인정수기,25,1,5,0
브리츠블루투스스피커,7,5,14,0
무반전거울,3,0,0,0
케겔운동기구,15,2,13,1
카시오가죽시계,27,6,5,2
트위스트운동기구,25,1,0,1
힛툴,0,0,0,0
카시오흑새치,17,0,4,0
카시트거울,31,4,5,0
수면용귀마개,27,4,8,1
비키니옷장,28,5,5,1
발바닥지압기,29,4,7,0
골프볼주머니,13,9,16,2
염도측정기,35,1,4,0
휴양지커플룩,26,4,8,2
사무용서랍장,35,1,4,0
잭링크스육포,28,3,3,0
하수구뚫음기계,24,1,3,0
소코뚜레,0,0,0,0
파워볼,10,1,1,0
아기샤워가운,9,3,5,0
간호복,0,0,0,0
쇠스랑,11,0,1,0
21세기킥보드,13,0,3,0
허벌라이프허벌티,2,0,0,0
함몰유두,0,0,0,0
핏플랍슬리퍼,4,0,0,0
손저울,0,0,0,0
원목마루,2,0,1,0
토리베가위,0,0,0,0
화과자,10,1,2,0
어묵바,22,2,8,1
눈꽃치즈,33,4,3,0
베어파우키즈부츠,20,10,10,0
자동차실내크리닝,32,2,6,0
원목트롤리,27,4,9,0
카프슬리브,27,7,5,1
가슴운동기구,10,0,1,0
바벨봉,16,1,1,0
락앤락스텐김치통,37,1,1,1
놋담방짜유기,33,4,3,0
햄스터리빙박스,23,4,8,1
반가발,21,0,3,0
기포기,26,5,5,0
크루져보드,31,1,4,0
아코디언의자,6,0,2,1
스파이더맨웹슈터,30,0,1,0
공부상,31,2,7,0
제일타카,34,4,2,0
오토바이방한토시,29,5,3,0
메밀국수,3,0,3,0
골프볼파우치,8,0,2,0
음주운전,36,1,1,0
에어호스릴,35,1,4,0
대형새장,33,1,6,0
한솔부항기,19,3,1,0
시끄러운알람시계,27,2,1,0
LED보석십자수,35,1,2,1
방도,11,5,22,2
골든햄스터케이지,29,4,6,1
자동용접면,33,3,1,0
안티스키밍여권케이스,3,0,6,4
테라소맥타워,2,0,0,0
배럴수영가방,23,1,0,0
맨유유니폼,21,9,3,0
셀프중문,35,1,4,0
족구화,15,2,1,0
에디슨수저,9,1,0,0
자명종,26,3,3,0
레알마드리드유니폼,33,2,5,0
여권커버,1,0,4,2
페인트분사기,2,0,0,0
맥과이어UC,32,0,1,0
고흥유자차,28,7,4,1
샤오미공기주입기,22,3,4,0
마뗑킴지갑,24,0,6,0
추감기,19,4,4,0
무선다지기,19,1,4,0
칼타공기,30,1,6,0
투망,38,1,1,0
원적외선치료기,36,3,1,0
아리아,37,0,3,0
녹십자혈압계,26,0,6,0
발레바,1,0,0,0
신생아목튜브,23,2,0,0
앞유리돌빵,9,0,2,0
고지톱,0,0,0,0
엉덩이뽕팬티,18,2,3,1
오토매틱시계와인더,2,2,5,0
배럴래쉬가드,0,0,0,0
납흡입기,1,0,0,0
간즈큐브,0,0,0,0
배드민턴스트링,0,0,0,0
냉모밀,0,0,0,0
의성마늘프랑크,1,0,0,0
드라이아이스,0,0,0,0
엔드그레인도마,1,1,1,1
아라이자켓,23,0,1,0
벌화분,36,1,3,0
폼건,37,1,2,0
목화솜이불,33,3,4,0
파채기계,32,3,4,1
란쥬,38,0,2,0
맘스팬티,23,0,6,1
초등학생카시트,19,3,3,0
2단트롤리,8,2,14,0
초음파안경세척기,23,1,2,1
차슈,15,2,3,0
본죽장조림,24,0,1,0
로즈힙,27,2,10,1
목화솜요,32,2,6,0
낮은교구장,32,3,3,2
인조잔디시공,27,3,10,0
젖병거치대,37,0,2,1
Z908PRO,35,1,4,0
피팅룸,37,0,3,0
층간소음귀마개,29,5,5,1
마트놀이,27,4,7,2
맛간장,29,2,9,0
