relative_keyword,total_search,total_store_count,competitive_rate
티셔츠,37500.0,66224327.0,1765.98
카디건,3620.0,9626694.0,2659.31
원피스,560200.0,28454346.0,50.79
니트,43840.0,25344476.0,578.11
스웨터,6490.0,9319823.0,1436.03
셔츠,41500.0,73199079.0,1763.83
블라우스,81220.0,9819315.0,120.9
재킷,3640.0,25689199.0,7057.47
점퍼,16450.0,10461403.0,635.95
코트,21930.0,10897688.0,496.93
청바지,69120.0,12922881.0,186.96
레깅스,34840.0,4539249.0,130.29
스커트,27080.0,16130182.0,595.65
바지,28970.0,46616866.0,1609.14
트레이닝복,22590.0,10229071.0,452.81
단체복,8500.0,694686.0,81.73
한복,85200.0,1035101.0,12.15
조끼,25730.0,11773981.0,457.6
정장세트,2360.0,2169921.0,919.46
유니폼,30200.0,2746193.0,90.93
파티복,1460.0,2274093.0,1557.6
코디세트,950.0,2432189.0,2560.2
레인코트,10740.0,1682636.0,156.67
점프슈트,13400.0,1989885.0,148.5
브라,30410.0,7424158.0,244.14
잠옷,79700.0,6540641.0,82.07
홈웨어,15440.0,8560553.0,554.44
팬티,32020.0,9344147.0,291.82
브라팬티세트,3810.0,1951980.0,512.33
보정속옷,19680.0,1816325.0,92.29
캐미솔,4300.0,1076260.0,250.29
슬립,26750.0,5781277.0,216.12
속치마,5610.0,232227.0,41.4
러닝,15730.0,6801454.0,432.39
티셔츠,37500.0,66224352.0,1765.98
속바지,9830.0,912269.0,92.8
스웨터,6490.0,9319834.0,1436.03
니트,43840.0,25344533.0,578.11
셔츠,41500.0,73199079.0,1763.83
남방,19190.0,4669287.0,243.32
재킷,3640.0,25689199.0,7057.47
카디건,3620.0,9626816.0,2659.34
점퍼,16450.0,10461539.0,635.96
청바지,69120.0,12923220.0,186.97
바지,28970.0,46618369.0,1609.19
정장세트,2360.0,2169989.0,919.49
조끼,25730.0,11774355.0,457.61
코트,21930.0,10898367.0,496.96
단체복,8500.0,694670.0,81.73
한복,85200.0,1035141.0,12.15
레인코트,10740.0,1682747.0,156.68
트레이닝복,22590.0,10229800.0,452.85
유니폼,30200.0,2746193.0,90.93
점프슈트,13400.0,1989885.0,148.5
코디세트,950.0,2432189.0,2560.2
러닝,15730.0,6802239.0,432.44
팬티,32020.0,9345377.0,291.86
잠옷,79700.0,6540988.0,82.07
홈웨어,15440.0,8561027.0,554.47
보정속옷,19680.0,1816325.0,92.29
부츠,31690.0,12436629.0,392.45
단화,24650.0,14073865.0,570.95
펌프스,9250.0,4946039.0,534.71
힐,7410.0,6974147.0,941.18
부티,11510.0,487286.0,42.34
워커,35850.0,2038280.0,56.86
슬리퍼,131400.0,11823360.0,89.98
실내화,43660.0,3209977.0,73.52
샌들,31330.0,13982696.0,446.3
운동화,152600.0,17788696.0,116.57
기능화,90.0,3060582.0,34006.47
털신,1470.0,300085.0,204.14
부츠,31690.0,12436629.0,392.45
모카신,4570.0,508271.0,111.22
운동화,152600.0,17788576.0,116.57
워커,35850.0,2038234.0,56.85
슬리퍼,131400.0,11823405.0,89.98
스니커즈,84500.0,15992267.0,189.26
실내화,43660.0,3209977.0,73.52
구두,48540.0,10052016.0,207.09
웰트화,290.0,164861.0,568.49
신발깔창,12110.0,1103365.0,91.11
기능화,90.0,3060582.0,34006.47
샌들,31330.0,13982696.0,446.3
보트슈즈,2050.0,494232.0,241.09
슬립온,34290.0,3616858.0,105.48
구둣주걱,350.0,119602.0,341.72
부츠키퍼,260.0,71486.0,274.95
신발끈,11910.0,265071.0,22.26
패드,23540.0,20958170.0,890.32
보호쿠션,180.0,910307.0,5057.26
백팩,185800.0,9962505.0,53.62
크로스백,156200.0,13996481.0,89.61
숄더백,52930.0,11268405.0,212.89
슈즈커버,210.0,605004.0,2880.97
토트백,60960.0,8493826.0,139.33
에코백,139400.0,2305945.0,16.54
힙색,51700.0,1847200.0,35.73
파우치,57150.0,10594448.0,185.38
클러치백,26300.0,2060687.0,78.35
크로스백,156200.0,13995239.0,89.6
백팩,185800.0,9963611.0,53.63
숄더백,52930.0,11268405.0,212.89
토트백,60960.0,8493826.0,139.33
가방소품,100.0,5640207.0,56402.07
에코백,139400.0,2305945.0,16.54
기내용캐리어,72420.0,1028416.0,14.2
힙색,51700.0,1847200.0,35.73
브리프케이스,7790.0,1029311.0,132.13
클러치백,26300.0,2060687.0,78.35
보스턴가방,2010.0,1542708.0,767.52
복대,18540.0,453778.0,24.48
중대형캐리어,80.0,698440.0,8730.5
이민,10880.0,112465.0,10.34
네임태그,940.0,467625.0,497.47
여권지갑,14830.0,297560.0,20.06
케이스,35650.0,62983549.0,1766.72
슈트케이스,2880.0,154401.0,53.61
여성지갑,15650.0,3559430.0,227.44
자물쇠,18090.0,1451980.0,80.26
캐리어커버,20850.0,277754.0,13.32
명함지갑,25070.0,2030623.0,81.0
동전지갑,20910.0,952401.0,45.55
머니클립,9550.0,300501.0,31.47
남성지갑,14930.0,2403432.0,160.98
카드,24010.0,20186146.0,840.74
통장지갑,2840.0,61120.0,21.52
남성벨트,16960.0,3234763.0,190.73
여성벨트,16320.0,3350269.0,205.29
열쇠지갑,940.0,279899.0,297.76
야구모자,15680.0,5029474.0,320.76
스냅백,11980.0,1224197.0,102.19
군모,3850.0,236959.0,61.55
멜빵,9270.0,1631467.0,175.99
비니,25620.0,2137268.0,83.42
귀달이모자,1820.0,560237.0,307.82
방울털모자,100.0,273735.0,2737.35
두건,8480.0,621760.0,73.32
귀마개,21240.0,975485.0,45.93
페도라,9550.0,744050.0,77.91
선캡,2220.0,2224112.0,1001.85
베레모,20520.0,574619.0,28.0
사파리모자,3730.0,3153946.0,845.56
헌팅캡,9030.0,384379.0,42.57
반다나,15880.0,527249.0,33.2
여성장갑,520.0,1621071.0,3117.44
토시,9880.0,1942548.0,196.61
암워머,1390.0,137619.0,99.01
남성장갑,200.0,1428183.0,7140.92
여성양말,9550.0,4460753.0,467.09
안경테,48500.0,2120677.0,43.73
선글라스,77000.0,5313053.0,69.0
선글라스케이스,4820.0,340188.0,70.58
소품,6030.0,100182631.0,16614.03
남성양말,7220.0,3372395.0,467.09
안경줄,8290.0,151819.0,18.31
안경케이스,7580.0,348203.0,45.94
가발,28970.0,1732537.0,59.8
헤어밴드,44250.0,3365463.0,76.06
안경소품,80.0,508172.0,6352.15
헤어끈,1310.0,1000301.0,763.59
손수건,23890.0,548853.0,22.97
스카프,55490.0,4139815.0,74.6
헤어핀,19020.0,2987794.0,157.09
머플러,14940.0,3057039.0,204.62
넥워머,7840.0,1159028.0,147.84
숄,8160.0,1043661.0,127.9
커프스,4710.0,492608.0,104.59
넥타이,32020.0,2430623.0,75.91
양산,92700.0,1403713.0,15.14
행커치프,2110.0,15654.0,7.42
스타킹,19610.0,1682445.0,85.8
넥케이프,1710.0,103179.0,60.34
우산,84000.0,5288734.0,62.96
키홀더,15080.0,3896775.0,258.41
와펜,21120.0,1346142.0,63.74
부채,25620.0,451835.0,17.64
브로치,12310.0,1326509.0,107.76
코르사주,1500.0,6518.0,4.35
라이터,24460.0,769873.0,31.47
한복소품,1340.0,162407.0,121.2
커플시계,3010.0,195272.0,64.87
시계수리용품,20.0,388841.0,19442.05
아동시계,910.0,316963.0,348.31
패션시계,1370.0,8205127.0,5989.14
시계소품,30.0,6268667.0,208955.57
골드바,54720.0,117291.0,2.14
목걸이,102600.0,9967795.0,97.15
귀걸이,92410.0,9185339.0,99.4
순금기념품,200.0,48043.0,240.22
실버바,6170.0,7219.0,1.17
반지,67570.0,6255869.0,92.58
팔찌,89510.0,7949671.0,88.81
발찌,9960.0,559252.0,56.15
펜던트,14040.0,6106061.0,434.9
주얼리세트,360.0,1506757.0,4185.44
주얼리소품,30.0,2603190.0,86773.0
로션,13170.0,2183578.0,165.8
스킨,15000.0,10844118.0,722.94
토너,19830.0,5625266.0,283.67
넥케어,270.0,21179.0,78.44
에센스,18970.0,1847537.0,97.39
페이스오일,4850.0,241814.0,49.86
화장품세트,5830.0,3625752.0,621.91
미스트,26570.0,1133100.0,42.65
크림,795900.0,6773785.0,8.51
아이케어,2690.0,700830.0,260.53
메이크업베이스,10890.0,132601.0,12.18
톤업크림,28440.0,68182.0,2.4
BB크림,6220.0,171955.0,27.65
CC크림,4970.0,32082.0,6.46
프라이머,36470.0,305560.0,8.38
트윈케이크,1130.0,33358.0,29.52
컨실러,19140.0,314089.0,16.41
파운데이션,32910.0,1041308.0,31.64
파우더,14510.0,3459376.0,238.41
립스틱,21990.0,1319785.0,60.02
립글로스,8540.0,299773.0,35.1
립라이너,4810.0,86436.0,17.97
립케어,970.0,239982.0,247.4
립틴트,5510.0,298458.0,54.17
아이라이너,13690.0,396847.0,28.99
아이브로,490.0,307875.0,628.32
아이섀도,440.0,746802.0,1697.28
블러셔,12240.0,222967.0,18.22
마스카라,14160.0,324478.0,22.92
하이라이터,14060.0,213761.0,15.2
쉐이딩,1230.0,171085.0,139.09
속눈썹영양제,46050.0,52519.0,1.14
클렌징폼,24130.0,711320.0,29.48
클렌징오일,48380.0,212715.0,4.4
클렌징젤,4550.0,191860.0,42.17
클렌징워터,16740.0,109602.0,6.55
클렌징크림,5620.0,163638.0,29.12
클렌징로션,2990.0,65521.0,21.91
립앤아이리무버,4130.0,67463.0,16.33
클렌징파우더,860.0,40353.0,46.92
클렌징티슈,11420.0,85288.0,7.47
스크럽,9430.0,641027.0,67.98
클렌징비누,1100.0,493372.0,448.52
필오프팩,4610.0,52938.0,11.48
워시오프팩,3250.0,119446.0,36.75
마스크시트,1460.0,633315.0,433.78
클렌징세트,50.0,154923.0,3098.46
필링,7540.0,656416.0,87.06
마사지크림,4130.0,107293.0,25.98
젤,7420.0,5071220.0,683.45
수면팩,3720.0,87457.0,23.51
코팩,11910.0,39214.0,3.29
마스크,93800.0,6310283.0,67.27
선스틱,9220.0,102499.0,11.12
선크림,55900.0,799657.0,14.31
선스프레이,2990.0,58238.0,19.48
선파우더,520.0,61537.0,118.34
팩세트,200.0,1235439.0,6177.2
쿠션,51440.0,15238090.0,296.23
스킨,15000.0,10844118.0,722.94
태닝,13830.0,148440.0,10.73
애프터선,1680.0,18027.0,10.73
로션,13170.0,2183598.0,165.8
에센스,18970.0,1847534.0,97.39
올인원,14800.0,1953902.0,132.02
크림,795900.0,6773861.0,8.51
아이케어,2690.0,700840.0,260.54
스크럽,9430.0,641027.0,67.98
클렌징,6020.0,2281493.0,378.99
선크림,55900.0,799657.0,14.31
필링,7540.0,656416.0,87.06
마스크,93800.0,6310283.0,67.27
쉐이빙폼,8990.0,115172.0,12.81
메이크업,20410.0,7922633.0,388.17
팩,11280.0,20807863.0,1844.67
남성청결제,11690.0,20050.0,1.72
남성화장품세트,1110.0,310127.0,279.39
남녀공용향수,670.0,539115.0,804.65
향수세트,420.0,222219.0,529.09
여성향수,3530.0,1485771.0,420.9
남성향수,4060.0,707118.0,174.17
바디크림,3940.0,973178.0,247.0
바디스크럽,16850.0,208708.0,12.39
바디클렌저,2210.0,874454.0,395.68
바디오일,11240.0,565602.0,50.32
바디미스트,16840.0,219071.0,13.01
바디파우더,480.0,136266.0,283.89
목욕비누,460.0,330751.0,719.02
핸드케어,220.0,1029367.0,4678.94
여성청결제,31440.0,98072.0,3.12
입욕제,16730.0,192871.0,11.53
풋케어,3040.0,351680.0,115.68
바디케어세트,120.0,390582.0,3254.85
제모제,1250.0,50115.0,40.09
바디슬리밍,440.0,238755.0,542.62
데오드란트,30200.0,216746.0,7.18
아로마테라피,8920.0,476379.0,53.41
트리트먼트,44500.0,953279.0,21.42
린스,11260.0,764317.0,67.88
바디로션,43750.0,937981.0,21.44
샤워코롱,5330.0,53229.0,9.99
샴푸,89300.0,4040369.0,45.24
헤어에센스,59350.0,469752.0,7.91
두피케어,9880.0,593437.0,60.06
탈모케어,1020.0,349934.0,343.07
헤어미스트,12390.0,122731.0,9.91
헤어팩,17570.0,453825.0,25.83
헤어왁스,6070.0,197995.0,32.62
헤어무스,1580.0,18951.0,11.99
헤어젤,3780.0,57829.0,15.3
헤어케어세트,20.0,287082.0,14354.1
헤어스프레이,25450.0,212201.0,8.34
염색약,54430.0,658835.0,12.1
파마약,5450.0,81967.0,15.04
네일아트,102160.0,2119610.0,20.75
매니큐어,21710.0,1493742.0,68.8
헤어글레이즈,860.0,15810.0,18.38
네일케어세트,830.0,700997.0,844.57
네일영양제,2320.0,81427.0,35.1
네일리무버,1640.0,132954.0,81.07
네일케어도구,70.0,1167352.0,16676.46
아이소품,30.0,2473348.0,82444.93
메이크업브러시,110.0,793932.0,7217.56
헤어소품,120.0,2617884.0,21815.7
타투,33030.0,666273.0,20.17
화장품케이스,2140.0,1190562.0,556.34
노트북가방,48240.0,3162132.0,65.55
노트북,220500.0,17698737.0,80.27
케이스,35650.0,62998486.0,1767.14
노트북보안기,40.0,323962.0,8099.05
노트북어댑터,1870.0,1248733.0,667.77
쿨러,10820.0,5282343.0,488.2
노트북보호필름,1750.0,4627549.0,2644.31
노트북받침대,11120.0,908678.0,81.72
노트북도난방지,400.0,96553.0,241.38
휴대폰케이스,55310.0,35905167.0,649.16
노트북키스킨,2750.0,2116189.0,769.52
휴대폰케이블,890.0,2124540.0,2387.12
휴대폰배터리,1780.0,1429365.0,803.01
휴대폰보호필름,1490.0,3564324.0,2392.16
휴대폰충전기,8130.0,2678486.0,329.46
휴대폰젠더,270.0,391713.0,1450.79
핸드셋,640.0,42220.0,65.97
휴대폰거치대,29540.0,4827751.0,163.43
휴대폰줄,2700.0,1391218.0,515.27
휴대폰렌즈,330.0,812640.0,2462.55
짐벌,19680.0,505843.0,25.7
웨어러블디바이스,1100.0,3441882.0,3128.98
휴대폰쿨링패드,20.0,46206.0,2310.3
베어본PC,1270.0,254963.0,200.76
브랜드PC,200.0,323748.0,1618.74
조립,3390.0,2698963.0,796.15
셀카봉,28600.0,472099.0,16.51
서버,6890.0,828856.0,120.3
모니터,94600.0,5124641.0,54.17
TV,85300.0,5778818.0,67.75
워크스테이션,4830.0,192573.0,39.87
디지털액자,9520.0,174471.0,18.33
사이니지,8730.0,44304.0,5.07
프로젝터,7610.0,2877007.0,378.06
영상플레이어,1960.0,327668.0,167.18
오디오,10940.0,5266584.0,481.41
홈시어터,5600.0,488286.0,87.19
리시버,4210.0,518261.0,123.1
마이크,33330.0,4006586.0,120.21
데크,14280.0,1146673.0,80.3
앰프,16110.0,2884358.0,179.04
오디오믹서,2190.0,330312.0,150.83
튜너,2350.0,251356.0,106.96
턴테이블,30240.0,663429.0,21.94
CD플레이어,43630.0,573079.0,13.13
스피커,72700.0,4906384.0,67.49
DAC,9410.0,285484.0,30.34
카세트플레이어,7350.0,109652.0,14.92
라디오,49810.0,2193080.0,44.03
MP3,19710.0,1083267.0,54.96
노래반주기,430.0,47435.0,110.31
PMP,6970.0,140908.0,20.22
MD플레이어,990.0,7983.0,8.06
MP3다운로드,2110.0,1722.0,0.82
헤드폰,35850.0,4510774.0,125.82
이어폰,72800.0,5096794.0,70.01
블루투스셋,530.0,1936196.0,3653.2
무선이어폰,89200.0,1687525.0,18.92
건조기,105600.0,2246729.0,21.28
탈수기,6020.0,335308.0,55.7
청소기,106500.0,6226057.0,58.46
세탁기,133900.0,2339398.0,17.47
다리미,30570.0,722448.0,23.63
디지털도어록,1460.0,224268.0,153.61
무전기,23360.0,498696.0,21.35
스탠드,36870.0,18219345.0,494.15
재봉틀,13630.0,775745.0,56.91
자외선소독기,2770.0,290001.0,104.69
손소독기,580.0,74383.0,128.25
보풀제거기,15320.0,170407.0,11.12
전화기,14370.0,490529.0,34.14
구강청정기,70.0,711649.0,10166.41
연수기,8840.0,40974.0,4.64
이온수기,1660.0,115688.0,69.69
핸드드라이어,3300.0,110431.0,33.46
해충퇴치기,4720.0,931237.0,197.3
업소용자외선소독기,150.0,79749.0,531.66
드라이어,3550.0,1290978.0,363.66
면도기,45000.0,2109261.0,46.87
전신건조기,450.0,23816.0,52.92
의류관리기,3950.0,66362.0,16.8
고데기,43760.0,492600.0,11.26
매직기,10460.0,111413.0,10.65
헤어롤,7360.0,182427.0,24.79
에어브러시,630.0,394001.0,625.4
코털제거기,28880.0,189196.0,6.55
눈썹정리기,25410.0,87718.0,3.45
피부케어기기,140.0,449711.0,3212.22
두피케어기기,100.0,108585.0,1085.85
손발톱정리기,40.0,479721.0,11993.02
DSLR카메라,7940.0,771101.0,97.12
제모기,12820.0,285739.0,22.29
이발기,4730.0,605776.0,128.07
캠코더,16500.0,7856849.0,476.17
카메라렌즈,3240.0,2626864.0,810.76
일반디카,90.0,172837.0,1920.41
렌즈용품,60.0,3030347.0,50505.78
미러리스디카,340.0,137368.0,404.02
필름카메라,48890.0,1214848.0,24.85
즉석카메라,7230.0,190657.0,26.37
카드리더기,7620.0,281554.0,36.95
메모리카드,12980.0,1401652.0,107.99
카메라가방,13780.0,1590279.0,115.4
그립,69700.0,5454978.0,78.26
삼각대,29630.0,2461475.0,83.07
헤드,11990.0,15991605.0,1333.75
카메라스트랩,6310.0,685633.0,108.66
케이스,35650.0,62993569.0,1767.0
플래시,28990.0,3299556.0,113.82
충전기,31110.0,7222926.0,232.17
조명용품,30.0,5741830.0,191394.33
배터리,37780.0,12829298.0,339.58
필름,20540.0,14857095.0,723.32
보호필름,4160.0,11090559.0,2666.0
카메라,50420.0,16836872.0,333.93
액션캠,46780.0,721810.0,15.43
김치냉장고,119700.0,220598.0,1.84
냉동고,87280.0,576854.0,6.61
냉장고,253500.0,5445134.0,21.48
전자레인지,149000.0,1808279.0,12.14
가스레인지,56830.0,694189.0,12.22
전기밥솥,37950.0,476928.0,12.57
가스레인지후드,2510.0,141254.0,56.28
오븐,29030.0,1889299.0,65.08
하이브리드,53300.0,1978822.0,37.13
핫플레이트,7860.0,129152.0,16.43
식기세척,330.0,372025.0,1127.35
하이라이트,52850.0,300049.0,5.68
인덕션,120600.0,2193671.0,18.19
전기포트,35580.0,1237516.0,34.78
토스터기,12590.0,233946.0,18.58
커피머신,115200.0,1466858.0,12.73
정수기,116800.0,1954038.0,16.73
건조기,105600.0,2246729.0,21.28
커피자판기,6460.0,69305.0,10.73
커피메이커,13020.0,727239.0,55.86
음식물처리기,134500.0,59651.0,0.44
제빵기,8990.0,138225.0,15.38
진공포장기,50020.0,371716.0,7.43
전기그릴,27650.0,540438.0,19.55
생선그릴,2740.0,100041.0,36.51
반죽기,12010.0,321999.0,26.81
쥬서기,1670.0,194361.0,116.38
거품,2440.0,1843219.0,755.42
믹서기,63670.0,2413896.0,37.91
녹즙기,5590.0,139636.0,24.98
분쇄기,10680.0,1617859.0,151.48
빙수기,2080.0,194507.0,93.51
요구르트제조기,3730.0,109549.0,29.37
식품건조기,20350.0,242086.0,11.9
핸드블렌더,4600.0,317068.0,68.93
홍삼제조기,1000.0,47691.0,47.69
아이스크림제조기,540.0,121718.0,225.4
전기쿠커,2950.0,510339.0,173.0
죽제조기,1830.0,64610.0,35.31
전기팬,4290.0,833747.0,194.35
튀김기,30160.0,228663.0,7.58
업소용튀김기,4940.0,108223.0,21.91
탄산수제조기,11420.0,33819.0,2.96
업소용음식물처리기,3070.0,7088.0,2.31
와플제조기,20.0,230560.0,11528.0
반죽기,12010.0,321999.0,26.81
업소용믹서기,1830.0,183889.0,100.49
업소용빙수기,90.0,88855.0,987.28
업소용진공포장기,4280.0,120400.0,28.13
내비게이션,26160.0,1658286.0,63.39
에어프라이어,196900.0,440135.0,2.24
액세서리,6600.0,119912673.0,18168.59
블랙박스,149100.0,909014.0,6.1
액세서리,6600.0,119912673.0,18168.59
후방카메라,23820.0,734196.0,30.82
하이패스,263400.0,66271.0,0.25
전방,3940.0,430090.0,109.16
GPS,14510.0,1893644.0,130.51
자동차TV,180.0,352290.0,1957.17
모니터,94600.0,5124626.0,54.17
카팩,2040.0,81183.0,39.8
헤드유닛,270.0,419397.0,1553.32
방음,3910.0,797507.0,203.97
전기매트,25400.0,772582.0,30.42
핸즈프리,3450.0,666559.0,193.21
방석,38850.0,3735195.0,96.14
담요,36240.0,2643407.0,72.94
온풍기,15490.0,725130.0,46.81
전기요,19400.0,258282.0,13.31
장판,42680.0,491602.0,11.52
에어커튼,9640.0,74233.0,7.7
라디에이터,20790.0,1018279.0,48.98
업소용냉온풍기,420.0,51068.0,121.59
보일러,19130.0,461998.0,24.15
온수기,9710.0,386337.0,39.79
제습기,136800.0,446087.0,3.26
냉온풍기,7470.0,129186.0,17.29
가습기,72800.0,1078458.0,14.81
컨벡터,1120.0,28490.0,25.44
에어컨,91700.0,4955976.0,54.05
선풍기,98600.0,3734337.0,37.87
온수매트,43940.0,116965.0,2.66
냉풍기,9880.0,314221.0,31.8
공기정화기,750.0,3560973.0,4747.96
KT,619600.0,1518210.0,2.45
LGU+,72300.0,226072.0,3.13
SKT,145200.0,60815.0,0.42
히터,7250.0,2777041.0,383.04
공기계,16230.0,134640.0,8.3
자급제폰,77800.0,121211.0,1.56
MVNO,3470.0,221.0,0.06
중고폰,78100.0,48284.0,0.62
선불폰,24630.0,3031.0,0.12
보이스레코더,1570.0,71733.0,45.69
전자사전,7160.0,27484.0,3.84
전자책,30400.0,81954.0,2.7
어학학습기,40.0,45193.0,1129.82
가정용게임기,2710.0,332186.0,122.58
휴대용게임기,5900.0,422313.0,71.58
PC게임,10720.0,1237867.0,115.47
게임타이틀,180.0,1772255.0,9845.86
손목받침대,3280.0,315017.0,96.04
마우스패드,49000.0,1289436.0,26.32
보안기,190.0,528207.0,2780.04
PC받침대,660.0,776354.0,1176.29
PC홀더,810.0,914899.0,1129.5
키보드키스킨,1680.0,563106.0,335.18
브라켓,22390.0,1440560.0,64.34
스티커,38100.0,17413850.0,457.06
케이블타이,22310.0,875892.0,39.26
